dates,time,h_top,h_bottom
2022-04-21 14:00:00,0,5.0,5
2022-04-21 14:10:00,600,5.005194381841749,5
2022-04-21 14:20:00,1200,5.0103884609629175,5
2022-04-21 14:30:00,1800,5.015581934715619,5
2022-04-21 14:40:00,2400,5.020774500597317,5
2022-04-21 14:50:00,3000,5.025965856323404,5
2022-04-21 15:00:00,3600,5.031155699899679,5
2022-04-21 15:10:00,4200,5.0363437296946545,5
2022-04-21 15:20:00,4800,5.041529644511705,5
2022-04-21 15:30:00,5400,5.046713143660969,5
2022-04-21 15:40:00,6000,5.051893927031004,5
2022-04-21 15:50:00,6600,5.0570716951601415,5
2022-04-21 16:00:00,7200,5.062246149307511,5
2022-04-21 16:10:00,7800,5.067416991523695,5
2022-04-21 16:20:00,8400,5.072583924720977,5
2022-04-21 16:30:00,9000,5.07774665274316,5
2022-04-21 16:40:00,9600,5.082904880434899,5
2022-04-21 16:50:00,10200,5.088058313710536,5
2022-04-21 17:00:00,10800,5.093206659622384,5
2022-04-21 17:10:00,11400,5.098349626428441,5
2022-04-21 17:20:00,12000,5.103486923659499,5
2022-04-21 17:30:00,12600,5.108618262185598,5
2022-04-21 17:40:00,13200,5.113743354281818,5
2022-04-21 17:50:00,13800,5.118861913693369,5
2022-04-21 18:00:00,14400,5.123973655699936,5
2022-04-21 18:10:00,15000,5.129078297179264,5
2022-04-21 18:20:00,15600,5.13417555666995,5
2022-04-21 18:30:00,16200,5.139265154433407,5
2022-04-21 18:40:00,16800,5.1443468125149785,5
2022-04-21 18:50:00,17400,5.149420254804176,5
2022-04-21 19:00:00,18000,5.154485207094006,5
2022-04-21 19:10:00,18600,5.15954139713937,5
2022-04-21 19:20:00,19200,5.164588554714506,5
2022-04-21 19:30:00,19800,5.169626411669446,5
2022-04-21 19:40:00,20400,5.174654701985476,5
2022-04-21 19:50:00,21000,5.179673161829561,5
2022-04-21 20:00:00,21600,5.184681529607724,5
2022-04-21 20:10:00,22200,5.189679546017359,5
2022-04-21 20:20:00,22800,5.194666954098446,5
2022-04-21 20:30:00,23400,5.1996434992836615,5
2022-04-21 20:40:00,24000,5.204608929447357,5
2022-04-21 20:50:00,24600,5.2095629949534,5
2022-04-21 21:00:00,25200,5.214505448701842,5
2022-04-21 21:10:00,25800,5.219436046174415,5
2022-04-21 21:20:00,26400,5.22435454547884,5
2022-04-21 21:30:00,27000,5.22926070739191,5
2022-04-21 21:40:00,27600,5.234154295401383,5
2022-04-21 21:50:00,28200,5.239035075746613,5
2022-04-21 22:00:00,28800,5.24390281745796,5
2022-04-21 22:10:00,29400,5.24875729239494,5
2022-04-21 22:20:00,30000,5.253598275283103,5
2022-04-21 22:30:00,30600,5.258425543749665,5
2022-04-21 22:40:00,31200,5.263238878357829,5
2022-04-21 22:50:00,31800,5.268038062639857,5
2022-04-21 23:00:00,32400,5.272822883128816,5
2022-04-21 23:10:00,33000,5.277593129389066,5
2022-04-21 23:20:00,33600,5.282348594045416,5
2022-04-21 23:30:00,34200,5.287089072811002,5
2022-04-21 23:40:00,34800,5.291814364513847,5
2022-04-21 23:50:00,35400,5.296524271122131,5
2022-04-22 00:00:00,36000,5.301218597768138,5
2022-04-22 00:10:00,36600,5.305897152770915,5
2022-04-22 00:20:00,37200,5.310559747657622,5
2022-04-22 00:30:00,37800,5.315206197183575,5
2022-04-22 00:40:00,38400,5.319836319351007,5
2022-04-22 00:50:00,39000,5.324449935426522,5
2022-04-22 01:00:00,39600,5.329046869957262,5
2022-04-22 01:10:00,40200,5.333626950785798,5
2022-04-22 01:20:00,40800,5.3381900090637435,5
2022-04-22 01:30:00,41400,5.342735879264087,5
2022-04-22 01:40:00,42000,5.347264399192275,5
2022-04-22 01:50:00,42600,5.3517754099960335,5
2022-04-22 02:00:00,43200,5.356268756173955,5
2022-04-22 02:10:00,43800,5.360744285582834,5
2022-04-22 02:20:00,44400,5.365201849443798,5
2022-04-22 02:30:00,45000,5.369641302347211,5
2022-04-22 02:40:00,45600,5.374062502256384,5
2022-04-22 02:50:00,46200,5.378465310510096,5
2022-04-22 03:00:00,46800,5.382849591823933,5
2022-04-22 03:10:00,47400,5.387215214290476,5
2022-04-22 03:20:00,48000,5.391562049378332,5
2022-04-22 03:30:00,48600,5.395889971930036,5
2022-04-22 03:40:00,49200,5.400198860158838,5
2022-04-22 03:50:00,49800,5.404488595644377,5
2022-04-22 04:00:00,50400,5.408759063327287,5
2022-04-22 04:10:00,51000,5.4130101515027125,5
2022-04-22 04:20:00,51600,5.417241751812789,5
2022-04-22 04:30:00,52200,5.421453759238077,5
2022-04-22 04:40:00,52800,5.425646072087991,5
2022-04-22 04:50:00,53400,5.429818591990211,5
2022-04-22 05:00:00,54000,5.4339712238791344,5
2022-04-22 05:10:00,54600,5.4381038759833515,5
2022-04-22 05:20:00,55200,5.442216459812186,5
2022-04-22 05:30:00,55800,5.446308890141307,5
2022-04-22 05:40:00,56400,5.450381084997442,5
2022-04-22 05:50:00,57000,5.454432965642211,5
2022-04-22 06:00:00,57600,5.458464456555083,5
2022-04-22 06:10:00,58200,5.462475485415503,5
2022-04-22 06:20:00,58800,5.466465983084192,5
2022-04-22 06:30:00,59400,5.470435883583648,5
2022-04-22 06:40:00,60000,5.474385124077857,5
2022-04-22 06:50:00,60600,5.478313644851258,5
2022-04-22 07:00:00,61200,5.48222138928696,5
