dates,time,T_top,T_bottom
2022-04-21 14:00:00,0,17.0,10
2022-04-21 14:10:00,600,17.238880105336115,10
2022-04-21 14:20:00,1200,17.477344324191204,10
2022-04-21 14:30:00,1800,17.714977560392963,10
2022-04-21 14:40:00,2400,17.951366296882203,10
2022-04-21 14:50:00,3000,18.18609938151138,10
2022-04-21 15:00:00,3600,18.418768808341582,10
2022-04-21 15:10:00,4200,18.648970492950706,10
2022-04-21 15:20:00,4800,18.876305040277103,10
2022-04-21 15:30:00,5400,19.100378503537023,10
2022-04-21 15:40:00,6000,19.32080313277139,10
2022-04-21 15:50:00,6600,19.537198111596908,10
2022-04-21 16:00:00,7200,19.749190280759272,10
2022-04-21 16:10:00,7800,19.956414847111063,10
2022-04-21 16:20:00,8400,20.15851607666487,10
2022-04-21 16:30:00,9000,20.355147970402456,10
2022-04-21 16:40:00,9600,20.54597492155348,10
2022-04-21 16:50:00,10200,20.730672353092782,10
2022-04-21 17:00:00,10800,20.908927334242662,10
2022-04-21 17:10:00,11400,21.08043917480673,10
2022-04-21 17:20:00,12000,21.24491999620401,10
2022-04-21 17:30:00,12600,21.40209527811633,10
2022-04-21 17:40:00,13200,21.55170437970851,10
2022-04-21 17:50:00,13800,21.693501034429236,10
2022-04-21 18:00:00,14400,21.827253817450718,10
2022-04-21 18:10:00,15000,21.952746584857497,10
2022-04-21 18:20:00,15600,22.069778883748334,10
2022-04-21 18:30:00,16200,22.178166332470646,10
2022-04-21 18:40:00,16800,22.277740970263665,10
2022-04-21 18:50:00,17400,22.368351575644958,10
2022-04-21 19:00:00,18000,22.449863952934084,10
2022-04-21 19:10:00,18600,22.52216118636821,10
2022-04-21 19:20:00,19200,22.5851438613259,10
2022-04-21 19:30:00,19800,22.63873025223809,10
2022-04-21 19:40:00,20400,22.682856476828547,10
2022-04-21 19:50:00,21000,22.717476616390265,10
2022-04-21 20:00:00,21600,22.742562801868942,10
2022-04-21 20:10:00,22200,22.75810526558969,10
2022-04-21 20:20:00,22800,22.76411235852854,10
2022-04-21 20:30:00,23400,22.76061053309597,10
2022-04-21 20:40:00,24000,22.747644291465253,10
2022-04-21 20:50:00,24600,22.725276099544025,10
2022-04-21 21:00:00,25200,22.693586266752902,10
2022-04-21 21:10:00,25800,22.65267279184005,10
2022-04-21 21:20:00,26400,22.602651175025223,10
2022-04-21 21:30:00,27000,22.543654196830982,10
2022-04-21 21:40:00,27600,22.475831664022067,10
2022-04-21 21:50:00,28200,22.399350123136664,10
2022-04-21 22:00:00,28800,22.314392542154906,10
2022-04-21 22:10:00,29400,22.22115796091058,10
2022-04-21 22:20:00,30000,22.11986111091163,10
2022-04-21 22:30:00,30600,22.01073200529311,10
2022-04-21 22:40:00,31200,21.894015499683277,10
2022-04-21 22:50:00,31800,21.769970824818706,10
2022-04-21 23:00:00,32400,21.63887109179824,10
2022-04-21 23:10:00,33000,21.501002770917527,10
2022-04-21 23:20:00,33600,21.35666514507637,10
2022-04-21 23:30:00,34200,21.206169738799286,10
2022-04-21 23:40:00,34800,21.049839723956307,10
2022-04-21 23:50:00,35400,20.88800930331529,10
2022-04-22 00:00:00,36000,20.721023073099186,10
2022-04-22 00:10:00,36600,20.549235365761817,10
2022-04-22 00:20:00,37200,20.37300957423318,10
2022-04-22 00:30:00,37800,20.19271745892072,10
2022-04-22 00:40:00,38400,20.008738438785763,10
2022-04-22 00:50:00,39000,19.821458867844648,10
2022-04-22 01:00:00,39600,19.631271298471827,10
2022-04-22 01:10:00,40200,19.438573732907273,10
2022-04-22 01:20:00,40800,19.243768864393154,10
2022-04-22 01:30:00,41400,19.047263309384242,10
2022-04-22 01:40:00,42000,18.849466832293725,10
2022-04-22 01:50:00,42600,18.650791564250135,10
2022-04-22 02:00:00,43200,18.451651217352673,10
2022-04-22 02:10:00,43800,18.25246029592059,10
2022-04-22 02:20:00,44400,18.053633306238154,10
2022-04-22 02:30:00,45000,17.855583966299577,10
2022-04-22 02:40:00,45600,17.65872441705817,10
2022-04-22 02:50:00,46200,17.463464436681253,10
2022-04-22 03:00:00,46800,17.27021065930658,10
2022-04-22 03:10:00,47400,17.07936579978745,10
2022-04-22 03:20:00,48000,16.891327885902278,10
2022-04-22 03:30:00,48600,16.70648949949027,10
2022-04-22 03:40:00,49200,16.525237027957708,10
2022-04-22 03:50:00,49800,16.34794992757972,10
2022-04-22 04:00:00,50400,16.175,10
2022-04-22 04:10:00,51000,16.006750683305608,10
2022-04-22 04:20:00,51600,15.843556359026493,10
2022-04-22 04:30:00,52200,15.685761676378917,10
2022-04-22 04:40:00,52800,15.533700895039132,10
2022-04-22 04:50:00,53400,15.387697247698469,10
2022-04-22 05:00:00,54000,15.248062323613272,10
2022-04-22 05:10:00,54600,15.115095474323184,10
2022-04-22 05:20:00,55200,14.989083242669055,10
2022-04-22 05:30:00,55800,14.87029881619744,10
2022-04-22 05:40:00,56400,14.759001505992194,10
2022-04-22 05:50:00,57000,14.655436251925291,10
2022-04-22 06:00:00,57600,14.559833155268674,10
2022-04-22 06:10:00,58200,14.472407039556902,10
2022-04-22 06:20:00,58800,14.393357040536557,10
2022-04-22 06:30:00,59400,14.322866225982985,10
2022-04-22 06:40:00,60000,14.26110124610816,10
2022-04-22 06:50:00,60600,14.208212015225145,10
2022-04-22 07:00:00,61200,14.164331425275165,10
2022-04-22 07:10:00,61800,14.129575091762668,10
2022-04-22 07:20:00,62400,14.10404113258206,10
2022-04-22 07:30:00,63000,14.08780998015711,10
2022-04-22 07:40:00,63600,14.080944227250747,10
2022-04-22 07:50:00,64200,14.083488506738743,10
2022-04-22 08:00:00,64800,14.0954694055762,10
2022-04-22 08:10:00,65400,14.116895413120686,10
2022-04-22 08:20:00,66000,14.14775690391036,10
2022-04-22 08:30:00,66600,14.188026154929974,10
2022-04-22 08:40:00,67200,14.23765739733191,10
2022-04-22 08:50:00,67800,14.29658690251381,10
2022-04-22 09:00:00,68400,14.364733102389021,10
2022-04-22 09:10:00,69000,14.44199674362094,10
2022-04-22 09:20:00,69600,14.528261075527702,10
2022-04-22 09:30:00,70200,14.623392071299579,10
2022-04-22 09:40:00,70800,14.727238682107993,10
2022-04-22 09:50:00,71400,14.839633123622539,10
2022-04-22 10:00:00,72000,14.960391194390565,10
2022-04-22 10:10:00,72600,15.089312625473383,10
2022-04-22 10:20:00,73200,15.22618146067355,10
2022-04-22 10:30:00,73800,15.37076646662945,10
2022-04-22 10:40:00,74400,15.522821571996662,10
2022-04-22 10:50:00,75000,15.682086334880053,10
2022-04-22 11:00:00,75600,15.848286437626903,10
2022-04-22 11:10:00,76200,16.02113420803922,10
2022-04-22 11:20:00,76800,16.200329166013123,10
2022-04-22 11:30:00,77400,16.385558594564774,10
2022-04-22 11:40:00,78000,16.576498134155923,10
2022-04-22 11:50:00,78600,16.772812399187732,10
2022-04-22 12:00:00,79200,16.974155615489476,10
2022-04-22 12:10:00,79800,17.18017227758854,10
2022-04-22 12:20:00,80400,17.390497824510646,10
2022-04-22 12:30:00,81000,17.60475933282405,10
2022-04-22 12:40:00,81600,17.82257622560819,10
2022-04-22 12:50:00,82200,18.043560995997638,10
2022-04-22 13:00:00,82800,18.267319943923756,10
2022-04-22 13:10:00,83400,18.493453924651853,10
2022-04-22 13:20:00,84000,18.721559107688943,10
2022-04-22 13:30:00,84600,18.95122774461753,10
2022-04-22 13:40:00,85200,19.182048944393724,10
2022-04-22 13:50:00,85800,19.41360945463413,10
2022-04-22 14:00:00,86400,19.645494447404094,10
2022-04-22 14:10:00,87000,19.87728830801163,10
2022-04-22 14:20:00,87600,20.108575425305663,10
2022-04-22 14:30:00,88200,20.338940981973963,10
2022-04-22 14:40:00,88800,20.56797174333675,10
2022-04-22 14:50:00,89400,20.795256843134265,10
2022-04-22 15:00:00,90000,21.02038856481261,10
2022-04-22 15:10:00,90600,21.24296311682071,10
2022-04-22 15:20:00,91200,21.462581400442577,10
2022-04-22 15:30:00,91800,21.678849768703227,10
2022-04-22 15:40:00,92400,21.89138077490381,10
2022-04-22 15:50:00,93000,22.099793909360937,10
2022-04-22 16:00:00,93600,22.303716322947984,10
2022-04-22 16:10:00,94200,22.502783536060914,10
2022-04-22 16:20:00,94800,22.69664013165924,10
2022-04-22 16:30:00,95400,22.88494043106286,10
2022-04-22 16:40:00,96000,23.067349151218345,10
2022-04-22 16:50:00,96600,23.243542042183627,10
2022-04-22 17:00:00,97200,23.413206503617587,10
2022-04-22 17:10:00,97800,23.576042179101083,10
2022-04-22 17:20:00,98400,23.73176152715802,10
2022-04-22 17:30:00,99000,23.88009036788973,10
2022-04-22 17:40:00,99600,24.02076840418186,10
2022-04-22 17:50:00,100200,24.15354971649193,10
2022-04-22 18:00:00,100800,24.27820323027551,10
2022-04-22 18:10:00,101400,24.394513155161384,10
2022-04-22 18:20:00,102000,24.502279395039732,10
2022-04-22 18:30:00,102600,24.601317928282693,10
2022-04-22 18:40:00,103200,24.69146115737356,10
2022-04-22 18:50:00,103800,24.772558227279127,10
2022-04-22 19:00:00,104400,24.844475311959172,10
2022-04-22 19:10:00,105000,24.907095868467664,10
2022-04-22 19:20:00,105600,24.960320858162113,10
2022-04-22 19:30:00,106200,25.004068934599886,10
2022-04-22 19:40:00,106800,25.038276597763964,10
2022-04-22 19:50:00,107400,25.06289831432449,10
2022-04-22 20:00:00,108000,25.077906603707255,10
